what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305320320185
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305320320200
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305320320372
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322047528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322049481
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322052153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322531513
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1305322536481
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1305322537075
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1305322537075
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1305322631263
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1305322631294
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322637919
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322723966
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322770903
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322842747
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322854606
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322854622
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305322854622
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305323588138
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305323591763
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305323593481
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1305323595153
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1305323601685
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1305323601856
