what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1305320058622
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1305320058622
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1305320058622
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1305320058622
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1305320058622
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1305320058638
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1305320058638
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1305320058638
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1305320058638
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1305320058638
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1305320058638
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1305320058638
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1305320058638
os,sysinfo,,,"win32",1305320058653
arch,sysinfo,,,"x86",1305320058653
ws,sysinfo,,,"win32",1305320058653
locale,sysinfo,,,"en_US",1305320058653
processors,sysinfo,,,"1",1305320058653
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305320058653
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1305320058653
java.specification.name,sysinfo,,,"Java Platform API Specification",1305320058653
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305320058653
java.specification.version,sysinfo,,,"1.6",1305320058653
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305320058653
java.version,sysinfo,,,"1.6.0_14",1305320058653
